Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
16/08/2019,Bayern Munich,Hertha,2,2,D,1,2,A,,17,6,7,3,6,17,12,0,3,3,0,0
17/08/2019,Dortmund,Augsburg,5,1,H,1,1,D,,23,5,10,1,8,6,10,0,0,0,0,0
17/08/2019,Freiburg,Mainz,3,0,H,0,0,D,,19,19,8,5,6,15,5,5,1,3,0,0
17/08/2019,Leverkusen,Paderborn,3,2,H,2,2,D,,13,11,4,6,8,9,6,6,2,0,0,0
17/08/2019,Werder Bremen,Fortuna Dusseldorf,1,3,A,0,1,A,,23,12,10,7,8,13,14,5,0,2,0,0
17/08/2019,Wolfsburg,FC Koln,2,1,H,1,0,H,,14,11,5,2,14,18,2,6,1,3,0,0
17/08/2019,M'gladbach,Schalke 04,0,0,D,0,0,D,,16,8,4,1,8,10,8,3,3,2,0,0
18/08/2019,Ein Frankfurt,Hoffenheim,1,0,H,1,0,H,,17,10,8,1,16,9,10,5,3,1,0,0
18/08/2019,Union Berlin,RB Leipzig,0,4,A,0,3,A,,13,14,2,8,14,5,3,6,1,0,0,0
23/08/2019,FC Koln,Dortmund,1,3,A,1,0,H,,13,14,1,6,11,10,7,8,2,1,0,0
24/08/2019,Augsburg,Union Berlin,1,1,D,0,0,D,,12,13,4,1,16,19,3,4,3,1,0,1
24/08/2019,Fortuna Dusseldorf,Leverkusen,1,3,A,0,3,A,,11,11,6,7,14,10,1,5,3,2,0,0
24/08/2019,Hoffenheim,Werder Bremen,3,2,H,0,1,A,,10,18,3,6,13,15,3,6,2,5,0,1
24/08/2019,Mainz,M'gladbach,1,3,A,1,1,D,,21,15,4,6,12,14,3,5,2,2,0,0
24/08/2019,Paderborn,Freiburg,1,3,A,1,2,A,,15,9,2,4,20,6,9,5,3,1,0,0
24/08/2019,Schalke 04,Bayern Munich,0,3,A,0,1,A,,9,10,2,6,11,10,3,4,0,0,0,0
25/08/2019,RB Leipzig,Ein Frankfurt,2,1,H,1,0,H,,13,11,5,5,10,13,4,1,2,3,0,0
