Team;SeasonStart;League;AvgAge;SquadValue
Paris SG;01/08/2019;Ligue1;25.8;874150000
Lyon;01/08/2019;Ligue1;24.5;384550000
Monaco;01/08/2019;Ligue1;25.7;331030000
Lille;01/08/2019;Ligue1;24.2;247780000
Marseille;01/08/2019;Ligue1;24.8;216150000
Nice;01/08/2019;Ligue1;23.5;173450000
Rennes;01/08/2019;Ligue1;25.5;171880000
Bordeaux;01/08/2019;Ligue1;25.6;125350000
Nantes;01/08/2019;Ligue1;25.5;106150000
St Etienne;01/08/2019;Ligue1;25.2;104830000
Strasbourg;01/08/2019;Ligue1;26.1;91130000
Angers;01/08/2019;Ligue1;26.3;89480000
Montpellier;01/08/2019;Ligue1;26.6;81680000
Reims;01/08/2019;Ligue1;24.2;81680000
Toulouse;01/08/2019;Ligue1;24.0;71880000
Amiens;01/08/2019;Ligue1;25.8;61930000
Metz;01/08/2019;Ligue1;24.8;54100000
Dijon;01/08/2019;Ligue1;25.9;50230000
Nimes;01/08/2019;Ligue1;24.3;49650000
Brest;01/08/2019;Ligue1;26.5;47780000
Paris SG;01/08/2020;Ligue1;24.7;805000000
Lyon;01/08/2020;Ligue1;24.7;431350000
Monaco;01/08/2020;Ligue1;24.4;370350000
Lille;01/08/2020;Ligue1;24.1;323200000
Rennes;01/08/2020;Ligue1;24.6;297500000
Marseille;01/08/2020;Ligue1;25.5;247950000
Nice;01/08/2020;Ligue1;22.8;236100000
St Etienne;01/08/2020;Ligue1;24.1;154500000
Montpellier;01/08/2020;Ligue1;25.6;113850000
Angers;01/08/2020;Ligue1;26.2;111650000
Strasbourg;01/08/2020;Ligue1;25.7;109650000
Bordeaux;01/08/2020;Ligue1;26.0;105700000
Reims;01/08/2020;Ligue1;23.6;105180000
Lens;01/08/2020;Ligue1;25.3;104300000
Metz;01/08/2020;Ligue1;25.1;103500000
Brest;01/08/2020;Ligue1;25.7;103230000
Nantes;01/08/2020;Ligue1;25.9;94750000
Lorient;01/08/2020;Ligue1;26.8;72880000
Dijon;01/08/2020;Ligue1;24.9;65630000
Nimes;01/08/2020;Ligue1;25.3;60400000
Paris SG;01/08/2021;Ligue1;26.2;875150000
Lyon;01/08/2021;Ligue1;24.9;397700000
Monaco;01/08/2021;Ligue1;23.7;396000000
Lille;01/08/2021;Ligue1;24.6;306880000
Rennes;01/08/2021;Ligue1;23.3;305350000
Marseille;01/08/2021;Ligue1;24.0;284700000
Nice;01/08/2021;Ligue1;24.3;266050000
Lens;01/08/2021;Ligue1;25.3;154050000
Reims;01/08/2021;Ligue1;24.0;149400000
Montpellier;01/08/2021;Ligue1;25.3;144600000
Strasbourg;01/08/2021;Ligue1;25.4;120050000
Bordeaux;01/08/2021;Ligue1;24.5;116850000
Nantes;01/08/2021;Ligue1;26.1;112650000
St Etienne;01/08/2021;Ligue1;24.4;105650000
Brest;01/08/2021;Ligue1;26.0;103150000
Metz;01/08/2021;Ligue1;25.6;91050000
Angers;01/08/2021;Ligue1;25.8;89500000
Troyes;01/08/2021;Ligue1;25.1;73200000
Lorient;01/08/2021;Ligue1;25.8;61300000
Clermont;01/08/2021;Ligue1;25.5;55100000
Paris SG;01/08/2022;Ligue1;25.9;891100000
Rennes;01/08/2022;Ligue1;24.3;387750000
Monaco;01/08/2022;Ligue1;24.3;368300000
Lyon;01/08/2022;Ligue1;25.5;350950000
Marseille;01/08/2022;Ligue1;25.6;331550000
Nice;01/08/2022;Ligue1;24.3;310800000
Lille;01/08/2022;Ligue1;25.3;247950000
Lens;01/08/2022;Ligue1;25.4;238150000
Lorient;01/08/2022;Ligue1;24.6;175450000
Reims;01/08/2022;Ligue1;23.8;159050000
Montpellier;01/08/2022;Ligue1;25.1;142900000
Strasbourg;01/08/2022;Ligue1;26.0;123550000
Nantes;01/08/2022;Ligue1;26.0;119280000
Toulouse;01/08/2022;Ligue1;24.0;104800000
Brest;01/08/2022;Ligue1;26.3;76650000
Troyes;01/08/2022;Ligue1;24.9;76300000
Angers;01/08/2022;Ligue1;25.1;71800000
Auxerre;01/08/2022;Ligue1;26.5;54800000
Clermont;01/08/2022;Ligue1;26.3;48000000
Ajaccio;01/08/2022;Ligue1;27.1;27000000
Paris SG;01/08/2023;Ligue1;24.9;1020000000
Monaco;01/08/2023;Ligue1;24.0;398550000
Rennes;01/08/2023;Ligue1;24.8;375350000
Lille;01/08/2023;Ligue1;23.8;328900000
Marseille;01/08/2023;Ligue1;24.4;311400000
Lyon;01/08/2023;Ligue1;25.5;305950000
Nice;01/08/2023;Ligue1;24.5;268780000
Lens;01/08/2023;Ligue1;25.9;205600000
Strasbourg;01/08/2023;Ligue1;24.0;157700000
Montpellier;01/08/2023;Ligue1;24.8;145580000
Toulouse;01/08/2023;Ligue1;23.3;145200000
Reims;01/08/2023;Ligue1;23.9;134550000
Lorient;01/08/2023;Ligue1;24.7;131850000
Nantes;01/08/2023;Ligue1;25.2;125900000
Brest;01/08/2023;Ligue1;25.9;115150000
Le Havre;01/08/2023;Ligue1;25.1;72500000
Metz;01/08/2023;Ligue1;25.5;65400000
Clermont;01/08/2023;Ligue1;25.2;61350000
Paris SG;01/08/2024;Ligue1;23.6;1140000000
Monaco;01/08/2024;Ligue1;23.6;411150000
Marseille;01/08/2024;Ligue1;24.9;358000000
Lille;01/08/2024;Ligue1;25.4;336550000
Lyon;01/08/2024;Ligue1;26.0;309850000
Strasbourg;01/08/2024;Ligue1;22.2;307850000
Rennes;01/08/2024;Ligue1;25.2;294700000
Nice;01/08/2024;Ligue1;24.4;227050000
Lens;01/08/2024;Ligue1;25.1;221450000
Reims;01/08/2024;Ligue1;24.0;152500000
Toulouse;01/08/2024;Ligue1;24.4;121600000
Nantes;01/08/2024;Ligue1;26.6;114650000
Brest;01/08/2024;Ligue1;25.6;110650000
Auxerre;01/08/2024;Ligue1;24.6;86900000
St Etienne;01/08/2024;Ligue1;25.3;81600000
Le Havre;01/08/2024;Ligue1;25.1;70550000
Montpellier;01/08/2024;Ligue1;25.2;65850000
Angers;01/08/2024;Ligue1;25.8;51650000
Paris SG;01/08/2025;Ligue1;22.4;1380000000
Marseille;01/08/2025;Ligue1;25.3;484800000
Strasbourg;01/08/2025;Ligue1;22.0;466080000
Monaco;01/08/2025;Ligue1;24.5;454680000
Lyon;01/08/2025;Ligue1;24.1;354650000
Rennes;01/08/2025;Ligue1;24.3;333600000
Lille;01/08/2025;Ligue1;24.7;294500000
Lens;01/08/2025;Ligue1;25.9;266600000
Nice;01/08/2025;Ligue1;24.2;215550000
Toulouse;01/08/2025;Ligue1;23.1;198600000
Paris FC;01/08/2025;Ligue1;27.8;154200000
Angers;01/08/2025;Ligue1;24.4;137600000
Lorient;01/08/2025;Ligue1;24.7;128350000
Nantes;01/08/2025;Ligue1;26.4;122600000
Auxerre;01/08/2025;Ligue1;24.0;122000000
Brest;01/08/2025;Ligue1;24.9;95350000
Metz;01/08/2025;Ligue1;24.7;91800000
Le Havre;01/08/2025;Ligue1;24.5;79450000
